ค่าเช่า/เดือน,ประเภทห้อง,พื้นที่ห้อง (ตารางเมตร),ชั้น,ค่าเช่าต่อตารางเมตร,,,,,
8500,1,28,3,304,,,,,
14000,1,32,36,438,,,,,
10000,1,35,5,286,,,ค่าเช่าต่อตารางเมตร,,
40000,1,78,14,513,,,mean,median,mode
13500,สตูดิโอ,26.5,26,509,,,448.6869159,450,571
6500,1,23,7,283,,,,,
9000,1,22,3,409,,,,,
8500,1,28.5,7,298,,,,,
25000,1,47,17,532,,,,,
8500,1,28,2,304,,,,,
6000,1,26,6,231,,,,,
16000,1,27,18,593,,,,,
18000,1,35,15,514,,,,,
20000,1,35,5,571,,,,,
25500,Duplex,38,21,671,,,,,
15000,1,31.4,18,478,,,,,
10000,1,43,22,233,,,,,
24000,2,55,34,436,,,,,
18000,2,47,25,383,,,,,
13000,1,38,6,342,,,,,
11000,1,30,19,367,,,,,
10000,1,35,2,286,,,,,
13000,สตูดิโอ,22,43,591,,,,,
7500,1,28,6,268,,,,,
8500,1,23,12,370,,,,,
25000,1,52.1,11,480,,,,,
6000,1,23,3,261,,,,,
11000,1,32.5,21,338,,,,,
10000,สตูดิโอ,31.4,7,318,,,,,
19000,2,46,11,413,,,,,
18000,1,35,35,514,,,,,
25000,1,44.2,14,566,,,,,
15000,1,40,12,375,,,,,
8000,สตูดิโอ,29,7,276,,,,,
14000,2,63,2,222,,,,,
12000,สตูดิโอ,26,28,462,,,,,
40000,2,52.4,36,763,,,,,
24000,Duplex,42,21,571,,,,,
6999,1,26,8,269,,,,,
33000,2,50,11,660,,,,,
24000,2,71,7,338,,,,,
13000,1,32,12,406,,,,,
18000,1,48.9,5,368,,,,,
15000,1,48,2,313,,,,,
15000,1,27,31,556,,,,,
18000,1,33,2,545,,,,,
22000,2,64,4,344,,,,,
16000,2,57,7,281,,,,,
18500,2,46,11,402,,,,,
16000,1,35,8,457,,,,,
10000,สตูดิโอ,25,5,400,,,,,
14000,1,30,5,467,,,,,
18500,2,46,14,402,,,,,
9000,1,30,8,300,,,,,
12000,1,35,8,343,,,,,
12000,1,24,7,500,,,,,
16000,1,38.5,6,416,,,,,
31000,2,61,21,508,,,,,
12000,1,35,19,343,,,,,
14000,1,35,8,400,,,,,
14000,1,26,5,538,,,,,
7500,1,29,3,259,,,,,
22000,2,53,2,415,,,,,
13000,สตูดิโอ,28,22,464,,,,,
16500,1,34,9,485,,,,,
11000,1,35,7,314,,,,,
15000,1,32,35,469,,,,,
18000,1,35,16,514,,,,,
24000,2,54,13,444,,,,,
10000,สตูดิโอ,28,9,357,,,,,
18000,1,33,14,545,,,,,
32000,2,60,8,533,,,,,
18000,1,45,4,400,,,,,
13500,1,31.5,7,429,,,,,
15000,1,32.5,15,462,,,,,
16000,สตูดิโอ,8,28,2000,,,,,
12000,1,31,11,387,,,,,
12000,1,32,22,375,,,,,
15000,1,32.5,14,462,,,,,
20000,2,60,5,333,,,,,
16000,1,34,19,471,,,,,
8500,1,23,16,370,,,,,
18000,2,60,10,300,,,,,
18000,2,42,3,429,,,,,
14000,สตูดิโอ,26,10,538,,,,,
12500,สตูดิโอ,26,20,481,,,,,
15000,สตูดิโอ,39,10,385,,,,,
18000,ประเภทห้อง,40,23,450,,,,,
20000,1,35.5,23,563,,,,,
15000,1,31,22,484,,,,,
35000,3,85,6,412,,,,,
11000,สตูดิโอ,26,17,423,,,,,
18000,สตูดิโอ,39,19,462,,,,,
16000,1,28,7,571,,,,,
20000,1,35,23,571,,,,,
16500,Duplex,130,7,127,,,,,
38000,2,78,20,487,,,,,
18000,1,33.9,2,531,,,,,
16500,1,30,20,550,,,,,
13000,สตูดิโอ,30.5,20,426,,,,,
12500,1,27,25,463,,,,,
35000,2,65,19,538,,,,,
23000,1,35,35,657,,,,,
13500,1,34,34,397,,,,,
31000,2,60,3,517,,,,,
27000,1,47,4,574,,,,,
13500,สตูดิโอ,26,15,519,,,,,
25000,2,95,4,263,,,,,
13000,1,27,33,481,,,,,
32000,2,65,5,492,,,,,
8000,1,28,8,286,,,,,
21000,1,37,4,568,,,,,
11000,1,31,5,355,,,,,
32000,2,60,15,533,,,,,
13000,1,27,4,481,,,,,
12000,1,27,4,444,,,,,
16000,1,34.5,17,464,,,,,
16000,1,34,17,471,,,,,
17000,1,30,4,567,,,,,
6500,สตูดิโอ,31,0,210,,,,,
13000,สตูดิโอ,25,20,520,,,,,
35000,1,54,18,648,,,,,
23000,1,45,15,511,,,,,
24000,1,45,24,533,,,,,
7500,สตูดิโอ,37,1,203,,,,,
7500,สตูดิโอ,31,5,242,,,,,
13000,1,30,22,433,,,,,
12000,1,30,3,400,,,,,
14000,สตูดิโอ,26,17,538,,,,,
13500,สตูดิโอ,26.5,21,509,,,,,
6500,1,24,5,271,,,,,
18000,1,40,26,450,,,,,
8000,1,27,7,296,,,,,
27000,1,45,36,600,,,,,
17000,1,33,3,515,,,,,
42000,2,51.3,5,819,,,,,
15500,1,30,17,517,,,,,
21000,1,37,7,568,,,,,
14000,1,37,15,378,,,,,
18500,สตูดิโอ,38,4,487,,,,,
18000,1,28,28,643,,,,,
12000,สตูดิโอ,23,32,522,,,,,
13000,สตูดิโอ,26,23,500,,,,,
75000,3,106,38,708,,,,,
18000,1,30,31,600,,,,,
14000,สตูดิโอ,23,27,609,,,,,
12000,สตูดิโอ,23,16,522,,,,,
14000,สตูดิโอ,23.5,34,596,,,,,
13500,สตูดิโอ,23,32,587,,,,,
14000,สตูดิโอ,23,32,609,,,,,
13500,สตูดิโอ,27,38,500,,,,,
15000,สตูดิโอ,28,38,536,,,,,
11000,สตูดิโอ,27,5,407,,,,,
14000,1,29,14,483,,,,,
13000,1,38,12A,342,,,,,
20000,1,35,10,571,,,,,
12000,2,45,8,267,,,,,
13000,1,31,27,419,,,,,
23000,1,34.3,18,671,,,,,
60000,1,55,15,1091,,,,,
11000,2,65,2,169,,,,,
